Epoch,Train Loss,Train mAP,Train mAP@0.5,Val mAP,Val mAP@0.5
1,1.4103493480455307,0.13213609158992767,0.23044608533382416,0.23707632720470428,0.39050599932670593
2,0.9664570223717462,0.24643933773040771,0.4054579436779022,0.2922247052192688,0.4961605668067932
3,0.8517428278923035,0.3178633749485016,0.49215933680534363,0.34698277711868286,0.5245314836502075
4,0.784536007472447,0.35929200053215027,0.5370646715164185,0.3289949893951416,0.4913876950740814
5,0.7454596073854537,0.3637928366661072,0.532136857509613,0.33740317821502686,0.5449419021606445
6,0.6879251441785268,0.40279093384742737,0.5808587670326233,0.4039181172847748,0.579108476638794
7,0.6650797276269822,0.42740947008132935,0.5877523422241211,0.4345230460166931,0.5883548259735107
8,0.6073274371169862,0.4326925575733185,0.6015779376029968,0.4281981885433197,0.5893820524215698
9,0.5867329807508559,0.45162299275398254,0.6190503835678101,0.4537515342235565,0.6022428274154663
10,0.5599778125683467,0.4715501368045807,0.6247971653938293,0.4466819167137146,0.5862509608268738
11,0.5306859856560117,0.48274174332618713,0.6315997838973999,0.47316253185272217,0.6135555505752563
12,0.5232205680438451,0.48290303349494934,0.6301965117454529,0.4886956214904785,0.6084082126617432
13,0.5003356621378944,0.49806031584739685,0.6318540573120117,0.45771121978759766,0.600145161151886
14,0.48195093600522904,0.49620291590690613,0.6299698948860168,0.47863420844078064,0.6038373708724976
15,0.45850312610467275,0.4970913529396057,0.6273839473724365,0.4953320324420929,0.611241340637207
16,0.45964850102152144,0.5006073713302612,0.6395875811576843,0.5013719201087952,0.6136963963508606
17,0.4432947388717106,0.5122944116592407,0.635294497013092,0.4979717433452606,0.5987603068351746
18,0.4433836247239794,0.5080669522285461,0.6327709555625916,0.49808838963508606,0.608018159866333
19,0.42866563612506503,0.520758330821991,0.640362560749054,0.47996771335601807,0.6061801910400391
20,0.41968992026079266,0.5141443014144897,0.6374692916870117,0.5037163496017456,0.6135929226875305
21,0.39969482507024495,0.5191019177436829,0.6381776332855225,0.49906525015830994,0.6064128279685974
22,0.3854136458465031,0.5242711901664734,0.6335441470146179,0.5115941166877747,0.6188028454780579
23,0.3834341958874748,0.5228946805000305,0.633385956287384,0.5173481106758118,0.6138431429862976
24,0.3755246598096121,0.5297133922576904,0.6382684707641602,0.5143131017684937,0.6138613820075989
25,0.3673106372356415,0.5303701758384705,0.6410180926322937,0.5203932523727417,0.613852322101593
26,0.3585982771146865,0.5424242615699768,0.6459116339683533,0.5273309350013733,0.6089109182357788
27,0.34999879045145854,0.5370070338249207,0.6360784769058228,0.5394043922424316,0.6187942624092102
28,0.3497445658558891,0.5412441492080688,0.6384526491165161,0.5301944017410278,0.616318941116333
29,0.34316086854253497,0.544227659702301,0.6385191082954407,0.5252885222434998,0.6163322329521179
30,0.3408926643076397,0.543938159942627,0.640927255153656,0.5426502227783203,0.6163111329078674
31,0.3293848937466031,0.5443935990333557,0.6385360360145569,0.533552348613739,0.6113705635070801
32,0.32973469751221796,0.5415357947349548,0.6385529637336731,0.5411564707756042,0.618809700012207
33,0.3171083172162374,0.550703763961792,0.6410211324691772,0.5349518656730652,0.6113570332527161
34,0.3079312230149905,0.5572439432144165,0.6434828042984009,0.5376265048980713,0.6089109182357788
35,0.302909797784828,0.557270348072052,0.6385624408721924,0.5391032695770264,0.6089109182357788
36,0.30579991752193086,0.5552116632461548,0.6385501027107239,0.5462993383407593,0.6138613820075989
37,0.297248014098122,0.5637944936752319,0.6410282254219055,0.5426878929138184,0.6138613820075989
38,0.2915199733915783,0.5664589405059814,0.64104825258255,0.5478441715240479,0.6163366436958313
39,0.2853032399501119,0.5588259696960449,0.6360853314399719,0.5386207103729248,0.6188119053840637
40,0.28618605782588324,0.5657540559768677,0.6435009241104126,0.5268850326538086,0.603960394859314
41,0.27983633159171967,0.5638588666915894,0.6410383582115173,0.5594298243522644,0.6163366436958313
42,0.2778543274317469,0.5664252042770386,0.6410245895385742,0.5495033860206604,0.6113294959068298
43,0.27235248110124044,0.5639893412590027,0.6336017847061157,0.5578873157501221,0.6138613820075989
44,0.26406078118653525,0.5674794912338257,0.6360968351364136,0.5595507621765137,0.6113861203193665
45,0.2618831663614228,0.5693947076797485,0.6361145973205566,0.5554726123809814,0.6138613820075989
46,0.25808535303388325,0.5747810006141663,0.638594388961792,0.5627958178520203,0.6113861203193665
47,0.2549203863456136,0.5824523568153381,0.6434919238090515,0.5648788809776306,0.6188119053840637
48,0.2509703065667834,0.5840910077095032,0.6460046768188477,0.559597909450531,0.6138613820075989
49,0.2440591492113613,0.5845474004745483,0.6435464024543762,0.5655850768089294,0.6163366436958313
50,0.24770538799819491,0.5836663246154785,0.6410723924636841,0.5751566886901855,0.6188119053840637
51,0.23927346333151772,0.5832552909851074,0.6385884284973145,0.5811727643013,0.6188119053840637
52,0.23772925393921987,0.5842328667640686,0.6410555839538574,0.5777207612991333,0.6188119053840637
53,0.23543559433448882,0.5873762965202332,0.641057550907135,0.5799144506454468,0.6163344383239746
54,0.22841006616751353,0.5893784761428833,0.6410738229751587,0.574583113193512,0.6138613820075989
55,0.22533164662974223,0.5911027789115906,0.6435518264770508,0.5672397613525391,0.6138613820075989
56,0.22359430946054912,0.5903738737106323,0.6410729289054871,0.5812218189239502,0.6163366436958313
57,0.2235594697651409,0.5918211936950684,0.6386001110076904,0.5787308812141418,0.6138613820075989
58,0.21992174159912836,0.5924750566482544,0.6361241340637207,0.5806207656860352,0.6138613820075989
59,0.21945805407705762,0.5941537022590637,0.641079306602478,0.5813505053520203,0.6163366436958313
60,0.2158816428056785,0.596222460269928,0.6410572528839111,0.5821962356567383,0.6138613820075989
61,0.21224244896854674,0.6006349921226501,0.6460283994674683,0.5821088552474976,0.6163366436958313
62,0.21311855011043093,0.6002323627471924,0.6435575485229492,0.5832204222679138,0.6138613820075989
63,0.21058262905904224,0.6007806062698364,0.6435546875,0.582626461982727,0.6138613820075989
64,0.20446343464510783,0.5971211194992065,0.6386076211929321,0.5851970911026001,0.6138613820075989
65,0.2082251329152357,0.5993125438690186,0.643551230430603,0.5849626660346985,0.6163366436958313
66,0.20662871258599416,0.5991705060005188,0.6410890817642212,0.5836681127548218,0.6138613820075989
67,0.207042852469853,0.5994316935539246,0.6410790085792542,0.5846761465072632,0.6138613820075989
68,0.2043712222859973,0.5985760688781738,0.6410782337188721,0.58651202917099,0.6163366436958313
69,0.20161234569691477,0.6012330055236816,0.6410791277885437,0.5855547189712524,0.6163366436958313
70,0.20142473443633035,0.603245735168457,0.6435575485229492,0.5859883427619934,0.6163366436958313
71,0.205795775779656,0.6035300493240356,0.6435595154762268,0.5851265788078308,0.6138613820075989
72,0.19921099923196292,0.6029501557350159,0.6435461640357971,0.5865907669067383,0.6163366436958313
73,0.20099426479566665,0.6035593748092651,0.6435577273368835,0.5862624645233154,0.6163366436958313
74,0.19840814705405915,0.6011375784873962,0.6386087536811829,0.5872799158096313,0.6163366436958313
