Epoch,Train Loss,Train mAP,Train mAP@0.5,Val mAP,Val mAP@0.5
1,1.9486257507687523,0.08432134985923767,0.15728193521499634,0.13070900738239288,0.2333260476589203
2,1.2686885407992772,0.14505919814109802,0.2567187249660492,0.16745828092098236,0.2867220640182495
3,1.138813727242606,0.18102508783340454,0.29379573464393616,0.10897179692983627,0.18173441290855408
4,1.0509121207963852,0.20336313545703888,0.3305877149105072,0.14472779631614685,0.24658718705177307
5,0.9942622633207412,0.23322826623916626,0.37141647934913635,0.19022497534751892,0.32126280665397644
6,0.9261607204164778,0.2735745310783386,0.43346238136291504,0.2386491894721985,0.3690761923789978
7,0.8981805755978539,0.2593178451061249,0.3953133821487427,0.3213701546192169,0.4907553791999817
8,0.8585068078268142,0.3004477918148041,0.4439448118209839,0.2266554832458496,0.34796142578125
9,0.829423253309159,0.3235936760902405,0.47400936484336853,0.29220131039619446,0.4362812638282776
10,0.8119103468599773,0.31777241826057434,0.4623398780822754,0.36429426074028015,0.5404911637306213
11,0.7749075960545313,0.3232622742652893,0.4704931378364563,0.35183021426200867,0.49557140469551086
12,0.7491985922768003,0.36049747467041016,0.5110669136047363,0.34196892380714417,0.4842270314693451
13,0.7248496013028282,0.3578835129737854,0.4954722821712494,0.36288759112358093,0.4977080821990967
14,0.7068494853519258,0.3728538453578949,0.5133907198905945,0.311752051115036,0.4549888074398041
15,0.6894767781098684,0.3709232211112976,0.5139942765235901,0.3255847096443176,0.4665042459964752
16,0.6640212828204746,0.39147084951400757,0.5369548201560974,0.4180474877357483,0.5645998120307922
17,0.6677520320529029,0.3983680009841919,0.5462378263473511,0.4407620131969452,0.5859895944595337
18,0.6396322300036749,0.4003484547138214,0.5397859811782837,0.40574562549591064,0.5426545143127441
19,0.6414244568064099,0.38509514927864075,0.5139132142066956,0.4406900703907013,0.5690097808837891
20,0.6123090059984297,0.39018484950065613,0.5189055800437927,0.42015671730041504,0.5511293411254883
21,0.6212531524045127,0.38071852922439575,0.5097389817237854,0.4495236873626709,0.5622490048408508
22,0.6128271891957238,0.3880780339241028,0.5214382410049438,0.44297608733177185,0.5528013110160828
23,0.5842109021686372,0.37969982624053955,0.5077282190322876,0.32923823595046997,0.4476417005062103
24,0.5802157502798807,0.40233656764030457,0.529891312122345,0.44975006580352783,0.5830366611480713
25,0.5696259616386323,0.4104630649089813,0.540069580078125,0.35896456241607666,0.4770273268222809
26,0.5621407907633554,0.4207046926021576,0.5500381588935852,0.38006526231765747,0.4934752583503723
27,0.5632904732511157,0.3874128758907318,0.5096190571784973,0.32582175731658936,0.44131529331207275
28,0.5556934045893805,0.42575567960739136,0.5597155094146729,0.3652324974536896,0.5012830495834351
29,0.5743051741804396,0.3899588882923126,0.5163728594779968,0.46910375356674194,0.5827752947807312
30,0.5480355908473332,0.4038465619087219,0.537049412727356,0.48154404759407043,0.6006836295127869
31,0.5344594122398467,0.43617957830429077,0.5661105513572693,0.49232086539268494,0.5930894613265991
32,0.5211198395206815,0.44114136695861816,0.5659939050674438,0.48205214738845825,0.5980514883995056
33,0.5102945459740502,0.4323146939277649,0.5489659905433655,0.4588921368122101,0.5659663677215576
34,0.5102656926427569,0.4304438531398773,0.5487596988677979,0.49457547068595886,0.5997095108032227
35,0.5027182465507871,0.45147615671157837,0.5685557126998901,0.4633556306362152,0.5779318809509277
36,0.50124810281254,0.46493294835090637,0.585628092288971,0.41278505325317383,0.534030556678772
37,0.48820572765100567,0.4557288587093353,0.5720540881156921,0.4715663194656372,0.5925828814506531
38,0.4793180501177197,0.4489187002182007,0.5662063956260681,0.4702611267566681,0.5751051306724548
39,0.4767308036486308,0.45922398567199707,0.5770680904388428,0.4563794732093811,0.562711775302887
40,0.4772596911305473,0.4779204726219177,0.5954706072807312,0.4745989739894867,0.592031717300415
41,0.4718541782526743,0.4620874226093292,0.5754913687705994,0.4544697105884552,0.56516033411026
42,0.4612200725646246,0.48018425703048706,0.5932500958442688,0.4805034101009369,0.5876421928405762
43,0.4562429870168368,0.47320908308029175,0.5891689658164978,0.4044049084186554,0.5225933194160461
44,0.4512566276959011,0.47312453389167786,0.5854791402816772,0.4871690273284912,0.5910220146179199
45,0.4479536861181259,0.46414127945899963,0.5755167007446289,0.506589412689209,0.6004776358604431
46,0.4439130070663634,0.4784642159938812,0.5906304121017456,0.511793315410614,0.606695294380188
47,0.43709433788344976,0.4857478737831116,0.5938621163368225,0.4414539039134979,0.5531175136566162
48,0.431060685643128,0.4793776571750641,0.5869510173797607,0.5052738785743713,0.5995718240737915
49,0.4276904841264089,0.49774405360221863,0.6077337265014648,0.3884483277797699,0.5021792650222778
50,0.42451569480555396,0.4879995286464691,0.5963318943977356,0.5157095193862915,0.606126606464386
51,0.4197520524263382,0.48839983344078064,0.5953123569488525,0.5010322332382202,0.5979911684989929
52,0.4165068186464764,0.48721420764923096,0.5947437286376953,0.5301282405853271,0.6113630533218384
53,0.4088671102410271,0.5005831718444824,0.6022517085075378,0.41826462745666504,0.5210037231445312
54,0.40520186495213284,0.4964173436164856,0.601879894733429,0.49856701493263245,0.5905115604400635
55,0.4042826405593327,0.49845555424690247,0.5966318845748901,0.5261765718460083,0.6127376556396484
56,0.40384072363376616,0.4983881413936615,0.6068390011787415,0.5016508102416992,0.5942797660827637
57,0.3992642775887535,0.5047846436500549,0.6071590781211853,0.5363829731941223,0.6102651357650757
58,0.394106243905567,0.5108546018600464,0.6155819296836853,0.5330590009689331,0.6142032146453857
59,0.3939645420227732,0.5048707723617554,0.6090883016586304,0.44890040159225464,0.5528626441955566
60,0.38988474536509743,0.5069788694381714,0.6060755252838135,0.5186561942100525,0.6059459447860718
61,0.3850697752265703,0.5053207278251648,0.6062551140785217,0.48932120203971863,0.5875306725502014
62,0.38319784168686183,0.5072988867759705,0.6049627065658569,0.5404144525527954,0.6104149222373962
63,0.38389869601953597,0.5006081461906433,0.6009714603424072,0.5284651517868042,0.615425169467926
64,0.38068618781509855,0.5129545331001282,0.612348198890686,0.5476350784301758,0.616234302520752
65,0.3774439437048776,0.5048756003379822,0.6025518774986267,0.5144636034965515,0.6110478043556213
66,0.3761466999139105,0.5141655206680298,0.612413763999939,0.4762639105319977,0.5720402598381042
67,0.3737157105689957,0.5145524144172668,0.6147379279136658,0.5288149118423462,0.6107144355773926
68,0.3748599060234569,0.5099328756332397,0.6096400022506714,0.5216070413589478,0.6126906275749207
69,0.3737417037997927,0.5057523846626282,0.6045814156532288,0.5258519053459167,0.612458348274231
70,0.37056268716142293,0.5163192749023438,0.6119852066040039,0.5014538764953613,0.5987873077392578
71,0.36987158478725524,0.5209612250328064,0.6162275671958923,0.5170292258262634,0.605850338935852
72,0.36907676096473424,0.5112366080284119,0.6079656481742859,0.49511632323265076,0.5963715314865112
73,0.3688032324115435,0.5168562531471252,0.6133576035499573,0.49346330761909485,0.5894187688827515
74,0.36670334459770293,0.5158318877220154,0.612490713596344,0.5345443487167358,0.6180713772773743
75,0.3684366055187725,0.5078689455986023,0.6074167490005493,0.5001044273376465,0.6014308929443359
76,0.3670086532831192,0.5158234238624573,0.6112179756164551,0.5129568576812744,0.6049731969833374
77,0.3669321932253383,0.5079355239868164,0.6036058068275452,0.46859633922576904,0.5619602203369141
78,0.36374329598177046,0.5094054341316223,0.6087974905967712,0.5439165234565735,0.6196826100349426
79,0.3656038803713662,0.5129936933517456,0.6084555387496948,0.5230530500411987,0.6033057570457458
80,0.36616959131899335,0.5138112306594849,0.6057255268096924,0.5376886129379272,0.6135004758834839
